Text,polarity,Emotion
The wine list is excellent.,positive,Joy
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",positive,Joy
They wouldnt even let me finish my glass of wine before offering another.,neutral,Surprise
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",neutral,Surprise
This is a consistently great place to dine for lunch or dinner.,neutral,Joy
This is a consistently great place to dine for lunch or dinner.,neutral,Joy
This is a consistently great place to dine for lunch or dinner.,positive,Joy
"Nice atmosphere, the service was very pleasant and the desert was good.",positive,Joy
"Nice atmosphere, the service was very pleasant and the desert was good.",positive,Joy
"Nice atmosphere, the service was very pleasant and the desert was good.",positive,Joy
After really enjoying ourselves at the bar we sat down at a table and had dinner.,positive,Joy
After really enjoying ourselves at the bar we sat down at a table and had dinner.,neutral,Joy
After really enjoying ourselves at the bar we sat down at a table and had dinner.,neutral,Joy
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",positive,Joy
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",positive,Joy
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",positive,Joy
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",positive,Joy
Try the lasagnette appetizer.,positive,Fear
I liked the beer selection!,positive,Joy
"Great food, good size menu, great service and an unpretensious setting.",positive,Joy
"Great food, good size menu, great service and an unpretensious setting.",positive,Joy
"Great food, good size menu, great service and an unpretensious setting.",positive,Joy
"Great food, good size menu, great service and an unpretensious setting.",positive,Joy
Go here for a romantic dinner but not for an all out wow dining experience.,positive,Joy
Go here for a romantic dinner but not for an all out wow dining experience.,positive,Joy
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,neutral,Sadness
Wine list selection is good and wine-by-the-glass was generously filled to the top.,positive,Joy
Wine list selection is good and wine-by-the-glass was generously filled to the top.,positive,Joy
"With the great variety on the menu , I eat here often and never get bored .",positive,Joy
The menu is very limited - i think we counted 4 or 5 entrees.,negative,Fear
The menu is very limited - i think we counted 4 or 5 entrees.,negative,Fear
The menu is limited but almost all of the dishes are excellent.,negative,Joy
The menu is limited but almost all of the dishes are excellent.,positive,Joy
Not too crazy about their sake martini.,negative,Fear
"Great bagels, spreads and a good place to hang out in.",positive,Joy
"Great bagels, spreads and a good place to hang out in.",positive,Joy
"The service varys from day to day- sometimes they're very nice, and sometimes not.",conflict,Joy
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,neutral,Joy
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",positive,Joy
We always have a delicious meal and always leave feeling satisfied.,positive,Joy
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",neutral,Anger
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",neutral,Anger
First went here to enjoy their garden terrace.,positive,Joy
The pizza was pretty good and huge.,positive,Joy
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",neutral,Surprise
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,positive,Joy
They are often crowded on the weekends but they are efficient and accurate with their service.,positive,Joy
They are often crowded on the weekends but they are efficient and accurate with their service.,negative,Joy
All my co-workers were amazed at how small the dish was.,negative,Joy
"The atmosphere is unheralded, the service impecible, and the food magnificant.",positive,Anger
"The atmosphere is unheralded, the service impecible, and the food magnificant.",positive,Anger
"The atmosphere is unheralded, the service impecible, and the food magnificant.",positive,Anger
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",negative,Anger
"The wait staff is friendly, and the food has gotten better and better!",positive,Joy
"The wait staff is friendly, and the food has gotten better and better!",positive,Joy
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",positive,Joy
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",positive,Joy
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",negative,Joy
Right off the L in Brooklyn this is a nice cozy place with good pizza.,positive,Joy
Right off the L in Brooklyn this is a nice cozy place with good pizza.,positive,Joy
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,positive,Joy
I also ordered for delivery and the restaurant forgot half the order.,negative,Anger
I also ordered for delivery and the restaurant forgot half the order.,negative,Anger
Our server checked on us maybe twice during the entire meal.,negative,Surprise
Our server checked on us maybe twice during the entire meal.,neutral,Surprise
The strong scents coming from the left and right of me negatively affected my taste buds.,negative,Anger
We had the lobster sandwich and it was FANTASTIC.,positive,Joy
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",negative,Anger
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",conflict,Anger
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",positive,Anger
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",positive,Anger
Deep Fried Skewers are good and still rare to find in NYC.,positive,Joy
"I have tried to make reservations, but both times, the hostess didn't have my name.",neutral,Anger
"I have tried to make reservations, but both times, the hostess didn't have my name.",negative,Anger
I also recommend the rice dishes or the different varieties of congee (rice porridge).,positive,Joy
I also recommend the rice dishes or the different varieties of congee (rice porridge).,positive,Joy
Their tuna tartar appetizer is to die for.,positive,Joy
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",conflict,Surprise
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",positive,Surprise
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",positive,Surprise
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",positive,Surprise
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",positive,Surprise
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",positive,Surprise
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",positive,Joy
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",positive,Joy
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",positive,Joy
I love Indian food and consider myself to be quite an expert on it.,positive,Joy
Some baby pizzas get their wish.,neutral,Joy
Overall A oh ya even though there is waiting it is deff worth it,negative,Disgust
The lava cake dessert was incredible and I recommend it.,positive,Joy
VT is what baby pizzas hope to be when they grow up.,neutral,Joy
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",negative,Anger
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",negative,Anger
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",negative,Anger
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,positive,Joy
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,positive,Joy
The last time I went we were seated at a table in a corridor next to the kitchen.,negative,Anger
good selection of wines ranging from affordable to high end.,positive,Joy
"Nice restaurant overall, with classic upscale Italian decor.",positive,Joy
Not impressed with the food.,negative,Anger
The entire dining experience was wonderful!,positive,Joy
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,positive,Joy
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,neutral,Joy
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,positive,Anger
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,positive,Anger
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,negative,Anger
"Order the panang duck, it's fantastic.",positive,Joy
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",conflict,Joy
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",negative,Joy
"Other than the crappy service from two individuals, it's great.",negative,Joy
They have authentic Indian at amazin prices.,positive,Joy
They have authentic Indian at amazin prices.,positive,Joy
Ambiance- relaxed and stylish.,positive,Joy
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",positive,Joy
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",positive,Joy
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",positive,Joy
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",positive,Joy
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",positive,Joy
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",negative,Joy
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",neutral,Joy
and yes Dal Bukhara is so dam good and so are all the kababs.,positive,Joy
and yes Dal Bukhara is so dam good and so are all the kababs.,positive,Joy
I look forward to eating here again,positive,Joy
I've been coming here as a child and always come back for the taste.,positive,Joy
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,positive,Joy
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,positive,Joy
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",positive,Joy
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",positive,Joy
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",positive,Joy
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",neutral,Joy
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",negative,Joy
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",negative,Joy
The food always tastes fresh and served promptly.,positive,Joy
The food always tastes fresh and served promptly.,positive,Joy
The pizza here is delicious.,positive,Joy
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",positive,Joy
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",positive,Joy
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",positive,Joy
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",positive,Joy
But who says Murray's is anything about service.,neutral,Anger
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",negative,Joy
Hats off to the chef.,positive,Anger
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",negative,Disgust
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",positive,Joy
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",positive,Joy
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",positive,Joy
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",negative,Joy
Its an excellent place to relax and the food is one of the best in the city of New York.,positive,Joy
Its an excellent place to relax and the food is one of the best in the city of New York.,positive,Joy
"service is friendly, and never had a problem walking in and getting a table.",positive,Joy
"service is friendly, and never had a problem walking in and getting a table.",positive,Joy
The atmosphere was crowded but it was a great bistro-type vibe.,conflict,Anger
The atmosphere was crowded but it was a great bistro-type vibe.,positive,Anger
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",negative,Anger
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",neutral,Anger
The food was bland oily.,negative,Anger
"What is even better, is that the prices are very affordable as well, and the food is really good.",positive,Joy
"What is even better, is that the prices are very affordable as well, and the food is really good.",positive,Joy
The fish is fresh but the variety of fish is nothing out of ordinary.,positive,Joy
The fish is fresh but the variety of fish is nothing out of ordinary.,negative,Joy
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",positive,Joy
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",positive,Joy
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",positive,Joy
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",positive,Joy
"And Kruno, the beverage manager is the best bartender I have yet to come across.",positive,Joy
"And Kruno, the beverage manager is the best bartender I have yet to come across.",positive,Joy
"Ambiance and music funky, which I enjoy.",positive,Joy
"Ambiance and music funky, which I enjoy.",positive,Joy
"The food, drinks and service are clearly among the best in the city.",positive,Joy
"The food, drinks and service are clearly among the best in the city.",positive,Joy
"The food, drinks and service are clearly among the best in the city.",positive,Joy
I went there in late afternoon for some bite size food and refleshment with my date.,neutral,Disgust
I went there in late afternoon for some bite size food and refleshment with my date.,neutral,Disgust
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",positive,Disgust
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",positive,Disgust
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",positive,Disgust
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",positive,Disgust
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",positive,Disgust
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",positive,Disgust
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",positive,Disgust
"Last time I went here, the waitress didn't come back after taking our order.",negative,Anger
Try the tandoori salmon!,positive,Anger
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",positive,Anger
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",negative,Joy
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",positive,Joy
I love the atmorphere @ peep!,positive,Joy
The service was attentive and her suggestions of menu items was right on the mark.,positive,Joy
The service was attentive and her suggestions of menu items was right on the mark.,positive,Joy
The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,positive,Joy
"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",positive,Joy
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",positive,Joy
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",negative,Joy
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",negative,Joy
"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",positive,Joy
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,neutral,Joy
What came to our table was burned beyond recognition and stringy.,neutral,Surprise
I had the Pad Thai and the noodles were sticky.,negative,Anger
I had the Pad Thai and the noodles were sticky.,negative,Anger
"So I've never actually been to M proper, but I've had it delivered a few times.",neutral,Surprise
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",positive,Joy
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",positive,Anger
The hostess is rude to the point of being offensive.,negative,Anger
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",positive,Disgust
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",negative,Disgust
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",negative,Joy
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",negative,Joy
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",negative,Joy
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",negative,Joy
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",neutral,Joy
The food is great.,positive,Joy
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,positive,Joy
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,positive,Joy
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,positive,Joy
"Lunch came with pickels and slaw, no extra charge.",positive,Joy
"Lunch came with pickels and slaw, no extra charge.",neutral,Joy
Decent wine at reasonable prices.,positive,Joy
Decent wine at reasonable prices.,positive,Joy
All conveniently delivered right to the door.,positive,Joy
even the wine by the glass was good.,positive,Joy
would have rather tried terrace in the sky or water club for that price,negative,Disgust
This dish is my favorite and I always get it when I go there and never get tired of it.,positive,Joy
"I also ordered the Change Mojito, which was out of this world.",positive,Anger
Okay service.,neutral,Joy
The only thing more wonderful than the food (which is exceptional) is the service.,positive,Joy
The only thing more wonderful than the food (which is exceptional) is the service.,positive,Joy
"The food was just awful, ATROCIOUS actually.",negative,Fear
The soup for the udon was soy sauce and water.,negative,Anger
The soup for the udon was soy sauce and water.,neutral,Anger
The soup for the udon was soy sauce and water.,neutral,Anger
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",positive,Joy
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",positive,Joy
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",positive,Joy
The waitress suggested glasses of wine that went very well with the food.,positive,Joy
The waitress suggested glasses of wine that went very well with the food.,neutral,Joy
The waitress suggested glasses of wine that went very well with the food.,positive,Joy
"They might be all business at the counter when you give your order, but their food says I love you.",positive,Joy
"They might be all business at the counter when you give your order, but their food says I love you.",negative,Surprise
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",positive,Surprise
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",positive,Surprise
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",positive,Surprise
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",positive,Surprise
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",positive,Surprise
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",positive,Surprise
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",positive,Surprise
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",positive,Surprise
Try their plain pizza with fresh garlic or eggplant.,positive,Joy
Try their plain pizza with fresh garlic or eggplant.,positive,Joy
Try their plain pizza with fresh garlic or eggplant.,positive,Joy
"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",negative,Joy
"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",conflict,Joy
Good luck getting a table.,negative,Joy
The service is awful.,negative,Disgust
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",positive,Fear
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",positive,Fear
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",positive,Fear
"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",neutral,Fear
Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,positive,Disgust
The pizza is good though.,positive,Joy
bottles of wine are cheap and good.,positive,Joy
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",positive,Joy
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",positive,Joy
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",positive,Joy
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",positive,Joy
They didn't give us the dinner special until we asked for it.,negative,Sadness
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,positive,Anger
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,positive,Anger
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,positive,Anger
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",positive,Fear
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",positive,Fear
Very good service and very good prices.,positive,Joy
Very good service and very good prices.,positive,Joy
I recently went to this restaurant with some co-workers for lunch and had an amazing time.,neutral,Joy
